date,id,text,username
2022-03-26T08:18:34+00:00,1507633093670318000,"Drummer with US rock group Foo Fighters, Taylor Hawkins, dies aged 50, band announces https://t.co/H6bPbfQN9h",BBCBreaking
2022-03-30T16:21:46+00:00,1509204247145066500,"The Wanted star Tom Parker dies aged 33 after being diagnosed with terminal brain cancer
https://t.co/zuyb1Nz1oP",BBCBreaking
2022-04-01T23:12:22+00:00,1510032354064183300,"""The list of those I have hurt is long"": Actor Will Smith resigns from Oscars Academy after slapping Chris Rock https://t.co/IQscPvsWj5",BBCBreaking
2022-04-02T17:48:00+00:00,1510313110850224000,Tory MP David Warburton suspended from the parliamentary party pending investigation into allegations about conduct https://t.co/vu6MpUjSes,BBCBreaking
2022-04-03T13:51:56+00:00,1510616089746710500,"""This is a very tragic situation"": At least six people dead after automatic gunfire in busy nightlife area of Sacramento in California

https://t.co/Hml2BOIoNU",BBCBreaking
2022-03-08T11:12:01+00:00,1501153761649209300,Shell to shut all petrol stations in Russia and will stop all spot purchases of oil from the country https://t.co/jd2zPE1agQ,BBCBreaking
2022-03-06T13:52:38+00:00,1500469406694088700,"Second attempt to evacuate people trapped in besieged Ukrainian city of Mariupol failed, as reports say ceasefire broken again

https://t.co/DOpa1IkoaN",BBCBreaking
2022-03-08T18:25:08+00:00,1501262758385373200,"McDonald’s will temporarily close all its restaurants in Russia, saying it “cannot ignore the needless human suffering unfolding in Ukraine”

https://t.co/1W0TgllgtN",BBCBreaking
2022-03-08T10:29:58+00:00,1501143180359737300,"Two million people have now fled Ukraine into neighbouring countries, UN tells BBC

 Live updates here: https://t.co/3DA2qR3J2D",BBCBreaking
2022-03-09T16:18:29+00:00,1501593272887783400,"Russian strikes hit maternity and children's hospital in Ukrainian city of Mariupol, officials say https://t.co/0tnc9Y3kYk",BBCBreaking
2022-03-09T15:23:04+00:00,1501579328156586000,"Man given genetically modified pig heart in world-first surgery dies two months after operation, US hospital says https://t.co/FBTUstXJ46",BBCBreaking
2022-03-08T16:30:56+00:00,1501234018309873700,US bans Russian oil imports as part of international moves against energy sector to punish Moscow for invading Ukraine https://t.co/2TzOZFl7CQ,BBCBreaking
2022-04-25T19:01:23+00:00,1518666500877529000,"Twitter's board agrees to $44bn takeover by Elon Musk, who has promised to ""unlock"" the social media giant's potential https://t.co/ObcThxnJlX",BBCBreaking
2022-05-04T06:56:11+00:00,1521745486058770400,"EU unveils plan to ban all Russian oil imports in major new sanctions package over Moscow's war in Ukraine

Follow latest here https://t.co/Z9eEeqsJlN",BBCBreaking
2022-04-07T18:28:08+00:00,1512135150070640600,"Ketanji Brown Jackson to become first black female justice in the 233-year history of US Supreme Court after Senate confirmation 

https://t.co/SIWmPuFwfo",BBCBreaking
2022-04-07T15:56:29+00:00,1512096985825882000,Russia suspended from UN Human Rights Council https://t.co/BdI7X8up20,BBCBreaking
2022-04-07T09:17:13+00:00,1511996508471709700,"MI5 agent alleged to have exploited his status to abuse a partner cannot be named by the BBC, High Court rules https://t.co/NCuZGPFNAt",BBCBreaking
2022-04-06T21:13:15+00:00,1511814314029719600,Scientists may have found the first fossil remains of a dinosaur that died on the very day a huge asteroid collided with the Earth https://t.co/7d4T7tMCid,BBCBreaking
2022-04-06T08:55:41+00:00,1511628698939805700,Ed Sheeran wins High Court copyright battle over 2017 hit Shape of You https://t.co/nvXkG9coxb,BBCBreaking
2022-04-04T11:11:09+00:00,1510938017199886300,Tesla boss Elon Musk buys 9.2% stake in Twitter worth almost $3bn https://t.co/A6dkPkBo5l,BBCBreaking
2022-04-04T04:10:25+00:00,1510832132985344000,"She held on as Hong Kong's leader through mass protests. Now, Carrie Lam says she won't seek a second term in power https://t.co/hlnmE83Yy1",BBCBreaking
2022-04-04T15:18:34+00:00,1511000278325248000,"""It's time to stop burning our planet and start investing in the abundant renewable energy""

UN Secretary General Antonio Guterres says ""leaders must lead"" but also urges people to ""demand that renewable energy is introduced now at speed and at scale""
https://t.co/4Pl8HEFbF1 https://t.co/VOGdCyptVB",BBCBreaking
2022-04-04T15:09:15+00:00,1510997935420579800,"UN says it's ""now or never"" to avoid disastrous climate change - but we can do it if we make drastic changes to how we live

https://t.co/bQwOSsYUYk",BBCBreaking
2022-04-04T12:49:45+00:00,1510962828668190700,Obituary: Legendary EastEnders actress June Brown https://t.co/3KwTYvJaAv,BBCBreaking
2022-04-04T12:19:27+00:00,1510955202643476500,"June Brown, who played Dot Cotton on BBC soap EastEnders for more than 30 years, dies aged 95 https://t.co/OJtze66Cr1",BBCBreaking
2022-04-04T12:15:54+00:00,1510954310552719400,"BBC witnesses more evidence of atrocities against civilians near Kyiv, as Ukraine accuses Russia of genocide https://t.co/GN1rzN0b5c",BBCBreaking
2022-04-14T20:14:47+00:00,1514698702576832500,"Russian warship Moskva has sunk, state media says, a day after it was reported damaged by fire or a Ukrainian missile strike
https://t.co/MEzEbijkrC",BBCBreaking
2022-04-14T16:12:20+00:00,1514637690104598500,"Blood money being paid for Russian oil, Ukraine's President Zelensky tells BBC

https://t.co/WFIJNARXHt",BBCBreaking
2022-04-14T10:03:30+00:00,1514544870567911400,"Some UK asylum seekers to be sent 4,000 miles away to Rwanda and military to take control of patrolling Channel, PM Boris Johnson announces
https://t.co/YeJwtYvB43",BBCBreaking
2022-04-13T18:15:22+00:00,1514306263089356800,Police arrest man suspected of shooting 10 commuters in rush hour attack at New York City subway station https://t.co/0O86HPN0Gk,BBCBreaking
2022-04-13T11:19:21+00:00,1514201569608319000,IS fanatic Ali Harbi Ali given whole-life jail sentence for murdering UK MP Sir David Amess https://t.co/yMYBGJGmF8,BBCBreaking
2022-04-12T12:48:23+00:00,1513861588255658000,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak will be fined over Downing Street lockdown parties https://t.co/gTBBsa0bQw,BBCBreaking
